Previsão,Real
3025.113103768544,3000.0
2775.481631095978,3500.0
4166.285550271703,4100.0
9301.561559535916,15000.0
2811.143270049202,1700.0
3025.113103768544,2235.0
6270.3222485119,3100.0
4950.841607242624,8800.0
6555.61536013769,11000.0
2668.496714236307,2200.0
4808.19505142973,3250.0
2882.4665479556493,2100.0
2347.5419636572938,1200.0
3702.6842438797944,2000.0
17503.738518777365,10000.0
5307.457996774861,3900.0
2882.4665479556493,1600.0
3025.113103768544,3300.0
2739.8199921427545,3000.0
6198.998970605453,4800.0
3417.391132254005,1700.0
2240.5570467976227,1300.0
2704.1583531895308,2200.0
2169.2337688911753,1700.0
1919.6022962186094,3150.0
1634.3091845928197,1150.0
2704.1583531895308,3200.0
1812.6173793589383,1500.0
3060.774742721768,4000.0
1990.9255741250568,2500.0
2169.2337688911753,1150.0
9301.561559535916,11030.0
3025.113103768544,4600.0
1634.3091845928197,2650.0
2026.5872130782805,3600.0
3096.4363816749915,2500.0
5343.119635728084,7500.0
1883.9406572653857,1200.0
2169.2337688911753,2006.0
2311.88032470407,3200.0
2704.1583531895308,2700.0
2383.2036026105175,1612.0
4665.548495616835,3230.0
2169.2337688911753,3300.0
3239.0829374878863,5000.0
3952.3157165523603,6780.0
2525.8501584234123,2190.0
2347.5419636572938,2600.0
3239.0829374878863,1700.0
2240.5570467976227,2600.0
2347.5419636572938,1785.0
3239.0829374878863,2700.0
7233.186500248941,8500.0
2026.5872130782805,2200.0
10014.79433860039,8000.0
7161.863222342494,8500.0
2704.1583531895308,2125.0
3774.007521786242,1785.0
2418.865241563741,4000.0
6805.246832810257,9135.0
1955.263935171833,2340.0
2668.496714236307,1184.0
1919.6022962186094,2420.0
2418.865241563741,1600.0
2347.5419636572938,1400.0
3060.774742721768,7500.0
4237.60882817815,2442.0
1990.9255741250568,2960.0
3167.759659581439,3500.0
4522.90193980394,4360.0
2276.2186857508464,1976.0
2490.1885194701886,1460.0
2418.865241563741,2300.0
2882.4665479556493,6500.0
1812.6173793589383,1100.0
3417.391132254005,2500.0
2597.1734363298597,3200.0
2347.5419636572938,1327.0
7161.863222342494,4300.0
2454.526880516965,1800.0
2882.4665479556493,4000.0
3025.113103768544,1450.0
3916.6540775991366,3000.0
3203.4212985346626,2800.0
3239.0829374878863,2200.0
4308.932106084598,1690.0
2383.2036026105175,1000.0
2811.143270049202,1200.0
4023.6389944588077,3300.0
1990.9255741250568,2670.0
2525.8501584234123,3150.0
2739.8199921427545,1800.0
2062.248852031504,1400.0
3916.6540775991366,3700.0
2632.8350752830834,1300.0
2133.5721299379516,3100.0
2454.526880516965,2500.0
3167.759659581439,2730.0
2240.5570467976227,4250.0
2347.5419636572938,1479.0
6448.63044327802,10500.0
3025.113103768544,2500.0
3453.0527712072285,2700.0
5093.488163055519,3500.0
2169.2337688911753,2200.0
1883.9406572653857,1600.0
1812.6173793589383,1250.0
2704.1583531895308,2000.0
3060.774742721768,7000.0
3774.007521786242,1999.0
2418.865241563741,4500.0
1883.9406572653857,4350.0
4487.240300850715,10840.0
3952.3157165523603,2450.0
3952.3157165523603,2200.0
2525.8501584234123,1912.0
