Previsão,Real
7658.7583015574255,9500.0
3395.2261580621466,2825.0
1883.929374440357,1400.0
10244.374658028606,4200.0
3053.428497742422,3525.0
1841.6004293361289,1900.0
2560.9154764503937,3400.0
1511.0591995461127,2250.0
3213.4382825153216,3700.0
2569.4751299654986,1750.0
2736.0941333678084,1800.0
2623.0605055994347,1590.0
1169.2615392263888,1500.0
1977.146918163918,1000.0
2207.8613856009624,1300.0
1915.0018890148772,2300.0
2611.804075069727,2100.0
4191.855106469968,7000.0
1530.8752835909252,1600.0
2840.568107621077,2790.0
2860.3841916658894,1090.0
2964.8581659191586,3000.0
2507.3301008164576,2300.0
2922.5292208149303,1837.0
3295.3993957091748,2303.0
1655.1653418890066,2140.0
4837.768693905484,5000.0
2611.804075069727,2000.0
4147.564154636626,2590.0
2662.6926736890596,1400.0
2860.3841916658894,2200.0
3701.292520063633,15000.0
2953.6017353894504,2400.0
1697.4942869932347,2750.0
2902.7131367701177,2200.0
1666.4217724187145,903.0
1406.5852252928437,2430.0
2363.223958473564,1700.0
3202.1818519856133,5000.0
4613.651873254431,6900.0
2840.568107621077,4500.0
2673.9491042187674,1450.0
2070.364461887479,1500.0
3672.9167825037157,3500.0
3692.7328665485284,3800.0
6677.644700588176,3100.0
1915.0018890148772,680.0
3637.1970560288987,4500.0
4178.636669211146,2900.0
2425.3689876226044,1800.0
3575.0520268798577,1900.0
2798.239162516849,2600.0
2549.659045920686,1850.0
1965.89048763421,1700.0
2964.8581659191586,2000.0
2673.9491042187674,1957.0
2922.5292208149303,2750.0
4445.082434966427,4000.0
3537.3702936759264,3059.0
3058.0757096427196,3200.0
2673.9491042187674,1800.0
3470.5780526265885,2000.0
2287.8720639091216,2800.0
5576.899825064562,2800.0
5483.682281341,6630.0
1697.4942869932347,2100.0
2400.9056916774953,3000.0
2487.5140167716454,1400.0
2911.2727902852225,2504.0
2798.239162516849,2400.0
1468.7302544418844,1200.0
1717.3103710380474,1300.0
2101.4369764619996,1588.0
2443.2346367817236,1260.0
3089.1482242172397,1990.0
1985.7065716790225,1768.0
4531.690760060577,4300.0
2498.770447301353,2699.0
3202.1818519856133,6200.0
1593.020312739966,1800.0
3992.201581764024,3400.0
2767.1666479423284,2000.0
2145.7163564519215,2125.0
3264.3268811346543,1850.0
10344.201420381578,13000.0
4862.231989850594,2600.0
3699.342085177939,2800.0
2724.8377028381,5200.0
2287.8720639091216,800.0
6975.162980917978,9000.0
4853.6723363354895,10000.0
2618.4132936991373,2350.0
3754.877895697569,2840.0
3221.997936030426,2250.0
2860.3841916658894,3500.0
3221.997936030426,2200.0
1977.146918163918,2000.0
